word	frequency
descartes	1
september	1
inpg	1
including	1
xml	1
web	1
jax	1
paris	1
subversion	1
matlab	1
extensive	1
2013	1
applied	1
postgres	1
de	1
rest	1
hedge	1
grenoble	1
projects	1
cognitive	1
skills	1
soap	1
polytechnique	1
xsd	1
scraping	1
xsl	1
financial	1
spring	1
national	1
module	1
–	1
computer	1
ec2	1
implemented	1
august	1
rs	1
beautifulsoup	1
ejb	1
jboss	1
daniel	1
esb	1
capital	1
hibernate	1
pylons	1
visualization	1
aws	1
screen	1
boss	1
maven	1
ajax	1
ws	1
york	1
java	1
rivercast	1
on	1
j2ee	1
programming	1
experience	1
swing	1
structured	1
news	1
cho	1
jan	1
git	1
institut	1
struts	1
system	1
json	1
jms	1
scikit	1
fund	1
deployed	1
1990	1
work	1
clips	1
v	1
trading	1
rene	1
in	1
education	1
specialization	1
application	1
mathematics	1
pandas	1
development	1
jsf	1
may	1
june	1
jsp	1
services	1
parallel	1
task	1
tomcat	1
b.s	1
blogs	1
modules	1
2006	1
2004	1
oracle	1
2008	1
physics	1
trade	2
statistical	2
mysql	2
d3.js	2
scipy	2
masters	2
university	2
rabbitmq	2
queues	2
javascript	2
redis	2
new	2
memcached	2
processing	2
matplotlib	2
s	2
learning	2
france	2
numpy	2
jquery	2
science	2
middleware	2
r	2
machine	2
mongodb	2
analysis	2
django	3
python	4
using	4
data	4
